"party","levels_of_party","race","gender","education","state_of_residence","president_voted_for","immigration_importance","environment_importance","gay_rights_importance","health_care_importance","climate_change_importance","abortion_importance","racial_equality_importance","gender_equality_importance","legality_abortion","gay_marriage","police_racial_bias","global_warming","religion_importance","age_group","ideology"
3,4,1,1,3,12,2,1,2,1,3,4,2,1,1,2,1,1,3,3,"4","3"
3,3,1,1,6,18,1,1,1,1,1,1,1,1,1,1,1,2,1,4,"4","3"
3,5,1,1,6,20,2,2,3,3,2,4,3,3,3,8,8,1,5,1,"2","2"
2,7,1,1,5,13,2,1,4,4,1,4,2,3,4,2,2,1,3,4,"4","2"
3,4,1,2,2,12,3,2,2,2,1,3,4,2,2,2,1,1,3,3,"4","3"
2,7,1,1,3,55,2,2,4,2,1,4,1,4,4,2,1,1,4,1,"2","3"
4,4,1,1,4,17,2,1,3,4,2,2,2,3,4,2,NA,1,3,2,"4","2"
3,3,1,2,6,8,1,3,1,2,1,1,2,1,1,1,1,2,1,3,"4","1"
3,5,1,1,4,12,2,2,2,4,2,3,3,3,3,8,2,2,2,2,"3","2"
1,1,3,2,4,39,1,2,1,NA,NA,1,NA,2,1,1,1,2,1,4,"3","1"
1,2,1,1,5,35,1,3,1,1,2,1,3,2,1,1,1,2,1,4,"4","1"
3,4,1,1,6,13,1,3,1,3,1,2,4,2,2,1,8,2,1,3,"5","3"
2,7,1,1,5,21,2,1,2,2,1,4,1,2,3,3,2,1,4,1,"4","2"
1,1,1,1,5,37,1,1,1,1,1,1,1,1,1,1,1,2,1,4,"1","1"
3,3,1,1,2,49,1,2,1,2,1,1,2,1,2,1,1,2,1,4,"5","3"
2,6,1,1,5,27,2,1,3,NA,3,NA,1,2,3,3,2,1,3,1,"4","2"
3,4,1,1,5,39,6,2,4,4,1,4,1,2,4,3,2,8,2,1,"2","2"
2,7,1,1,3,16,2,1,3,4,2,4,2,3,3,2,2,1,4,1,"4","2"
1,1,1,2,5,34,1,3,1,1,1,1,2,1,1,1,1,2,1,3,"2","1"
1,1,1,1,4,36,1,2,3,1,2,3,2,2,2,1,1,2,2,1,"3","1"
1,2,1,1,6,39,1,2,1,1,2,2,3,2,1,1,1,2,1,3,"3","1"
2,6,1,1,4,37,2,2,3,4,3,4,3,3,4,2,2,1,1,4,"3","2"
1,2,1,1,5,48,3,3,1,1,2,1,4,2,2,2,1,2,1,4,"4","3"
2,6,1,1,3,48,2,2,3,3,1,4,4,1,2,2,2,1,4,1,"5","2"
